itemnr,item
f66c,"Jag tål inte att bli provocerad, då kan jag slå till någon."
f66d,Jag ljuger för att få fördelar eller slippa göra jobbiga saker.
f66f,Jag är ofta ute på natten tillsammans med kamrater.
f66g,Jag struntar i regler som hindrar mig från att göra det jag vill göra.
f66i,Jag ser mig själv som en ganska impulsiv person.
f66j,Jag vill gärna vara där det händer spännande saker.
f66k,Jag kan få andra att tro på nästan vad som helst.
f66n,Jag gör dumma saker även om de är lite farliga.
f66o,Jag vill gärna se hur långt jag kan gå innan folk får nog.
f66q,"Jag tycker att det är OK att ta något utan att fråga, om man inte blir upptäckt."
f66r,Det händer att jag gör saker utan att tänka mig för.
