itemnr,item
f54b,Jag trivs bra i skolan.
f54n,Jag ser fram emot att gå till lektionerna.
F92,Hur mycket skulle du vilja ändra på dig själv?
F99,Hur ofta tycker du att det är riktigt härligt att leva?
f83e,De märker när jag gör något bra.
F70,Brukar du delta i någon ledarledd fritidsaktivitet eller träning?
f86a,Motionerar och tränar regelbundet?
f101j,Mina grannar brukar heja/hälsa på mig när vi möts.
F67,Tycker du att det är viktigt vad du kommer att jobba med när du blir stor eller spelar det ingen roll?
F68,"Om du jämför dina framtidsutsikter med de flesta andras i din ålder, tror du då att dina är sämre, lika bra, eller bättre?"
